ID; Time; CPU %; MEM %; MEM KiB
1;11:10:58.063;23.1;26.528622;5344072
2;11:10:58.234;1.6;26.531402;5344884
3;11:10:58.404;1.6;26.535194;5345396
4;11:10:58.573;0.0;26.536405;5345640
5;11:10:58.742;3.0;26.535452;5345448
6;11:10:58.916;3.2;26.534658;5345288
7;11:10:59.086;1.6;26.532831;5344920
8;11:10:59.254;1.5;26.535016;5345612
9;11:10:59.425;3.1;26.537220;5345584
10;11:10:59.599;1.5;26.542839;5347196
11;11:10:59.778;1.5;26.544130;5347228
12;11:10:59.962;3.1;26.542779;5347216
13;11:11:00.138;0.0;26.543494;5347068
14;11:11:00.315;1.5;26.543991;5347200
15;11:11:00.486;1.4;26.543057;5346980
16;11:11:00.656;0.0;26.542501;5346868
17;11:11:00.824;1.6;26.542501;5346868
18;11:11:00.991;1.6;26.553621;5349108
19;11:11:01.159;4.6;26.734712;5389904
20;11:11:01.328;1.4;26.817653;5402296
21;11:11:01.497;1.6;26.818904;5402548
22;11:11:01.666;3.1;26.819638;5402696
23;11:11:01.836;1.5;26.819857;5402740
24;11:11:02.013;6.0;26.822120;5403196
25;11:11:02.188;7.7;26.822537;5403532
26;11:11:02.359;2.9;26.822915;5403356
27;11:11:02.530;3.0;26.829567;5404696
28;11:11:02.705;3.3;26.830798;5405196
29;11:11:02.885;4.3;26.828713;5404776
30;11:11:03.058;2.9;26.830083;5404800
31;11:11:03.230;0.0;26.830083;5404800
32;11:11:03.402;1.5;26.831532;5405092
33;11:11:03.572;5.5;26.831374;5405060
34;11:11:03.741;4.3;26.829249;5404632
35;11:11:03.913;2.9;26.830063;5404796
36;11:11:04.086;1.5;26.829487;5405092
37;11:11:04.264;1.5;26.830659;5404916
38;11:11:04.439;5.8;26.826648;5404360
39;11:11:04.609;0.0;26.829626;5404708
40;11:11:04.781;1.5;26.830917;5404968
41;11:11:04.952;1.5;26.830877;5404960
42;11:11:05.123;1.5;26.830639;5404912
43;11:11:05.294;0.0;26.831393;5404912
44;11:11:05.466;0.0;26.831671;5405184
45;11:11:05.639;4.3;26.835186;5405676
46;11:11:05.809;4.4;26.838542;5406504
47;11:11:05.980;4.3;26.834690;5406396
48;11:11:06.152;4.2;26.839574;5406712
49;11:11:06.324;4.2;26.838462;5406192
50;11:11:06.494;2.9;26.842553;5407464
51;11:11:06.668;9.5;26.838284;5406452
52;11:11:06.840;6.7;26.838442;5406660
53;11:11:07.009;5.3;26.835921;5405976
54;11:11:07.180;9.2;26.835365;5405864
55;11:11:07.351;1.5;26.831572;5405376
56;11:11:07.522;11.4;26.829805;5404912
57;11:11:07.692;8.0;26.830897;5405116
58;11:11:07.864;9.6;26.836060;5405708
59;11:11:08.035;10.5;26.835047;5405800
60;11:11:08.206;13.0;26.834014;5405592
61;11:11:08.376;7.8;26.833200;5405428
62;11:11:08.547;3.0;26.829606;5404556
63;11:11:08.717;1.5;26.827065;5404444
64;11:11:08.885;3.0;26.828256;5405692
65;11:11:09.054;6.1;26.901646;5419216
66;11:11:09.227;6.0;27.002397;5439764
67;11:11:09.396;0.0;27.149911;5471244
68;11:11:09.565;1.6;27.314263;5502596
69;11:11:09.734;0.0;27.488643;5537412
70;11:11:09.903;4.6;27.488405;5537732
71;11:11:10.074;4.8;27.488703;5537508
72;11:11:10.247;1.6;27.491403;5538020
73;11:11:10.416;4.5;27.579189;5555628
74;11:11:10.588;0.0;27.642154;5568488
75;11:11:10.759;1.6;27.710936;5582400
76;11:11:10.928;0.0;27.732401;5586568
77;11:11:11.097;6.3;27.735261;5587144
78;11:11:11.265;1.6;27.738199;5587996
79;11:11:11.433;0.0;27.739490;5587996
80;11:11:11.601;4.5;27.735896;5587272
81;11:11:11.770;3.1;27.737246;5587796
82;11:11:11.939;2.6;27.737187;5587784
83;11:11:12.108;4.6;27.741059;5588312
84;11:11:12.278;3.0;27.744673;5589292
85;11:11:12.447;1.2;27.745924;5589292
86;11:11:12.615;1.4;27.745924;5589292
87;11:11:12.785;1.6;27.767508;5593640
88;11:11:12.954;0.0;27.768759;5593892
89;11:11:13.122;3.1;27.768759;5593892
90;11:11:13.291;1.6;27.778766;5595908
91;11:11:13.459;1.6;27.776582;5595468
92;11:11:13.628;1.6;27.778766;5595908
93;11:11:13.797;0.0;27.779402;5596036
94;11:11:13.967;0.0;27.777912;5595736
95;11:11:14.135;1.6;27.779163;5595988
96;11:11:14.303;1.5;27.780792;5596316
97;11:11:14.472;1.5;27.780792;5596316
98;11:11:14.641;0.0;27.779461;5596048
99;11:11:14.811;1.6;27.777098;5595824
100;11:11:14.978;0.0;27.777654;5595936
101;11:11:15.147;1.6;27.777078;5595568
102;11:11:15.314;0.0;27.778905;5595936
